Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Eschlkam,Gemeinde,9372124,Bayern
Eschwege,Stadt,6636003,Hessen
Eschweiler,Stadt,5334012,Nordrhein-Westfalen
Esens,Stadt,3462003,Niedersachsen
Esgrus,Gemeinde,1059109,Schleswig-Holstein
Eslarn,Gemeinde,9374118,Bayern
Eslohe (Sauerland),Gemeinde,5958016,Nordrhein-Westfalen
Espelkamp,Stadt,5770008,Nordrhein-Westfalen
Espenau,Gemeinde,6633007,Hessen
Espenhain,Gemeinde,14729110,Sachsen
Eßbach,Gemeinde,16075023,Thüringen 
Essel,Gemeinde,3358007,Niedersachsen
Esselbach,Gemeinde,9677126,Bayern
